seccion,anio,mes,departamento,tipo_medicion,valor
ACY1,2023,1,ALTO PARANÁ,ACCID.DEP,8.0
ACY1,2023,1,ALTO PARANÁ,ACCID.FEP,6.0
ACY1,2023,1,ALTO PARANÁ,PROG.FEP,0.863938253598664
ACY1,2023,1,ALTO PARANÁ,PROD.FEP,4104.66552846617
ACY1,2023,1,ALTO PARANÁ,TOTAL FEP,56527.8179612067
ACY1,2023,1,ALTO PARANÁ,ACCID.PENF,1.0
ACY1,2023,1,ALTO PARANÁ,PROG.PENF,0.326851179388447
ACY1,2023,1,ALTO PARANÁ,PROD.PENF,2441.65143714428
ACY1,2023,1,ALTO PARANÁ,TOTAL PENEF,67570.1284050248
ACY2,2023,1,ALTO PARANÁ,ACCID.DEP,5.0
ACY2,2023,1,ALTO PARANÁ,PROG.DEP,0.634942764853907
ACY2,2023,1,ALTO PARANÁ,PROD.DEP,3817.92242645188
ACY2,2023,1,ALTO PARANÁ,TOTAL DEP,69398.045132187
ACY2,2023,1,ALTO PARANÁ,ACCID.FEP,0.0
ACY2,2023,1,ALTO PARANÁ,PROG.FEP,0.644974491120018
ACY2,2023,1,ALTO PARANÁ,PROD.FEP,2730.86642566292
ACY2,2023,1,ALTO PARANÁ,TOTAL FEP,56248.5426128144
ACY2,2023,1,ALTO PARANÁ,ACCID.PENF,7.0
ACY2,2023,1,ALTO PARANÁ,PROG.PENF,0.527068458675453
ACY2,2023,1,ALTO PARANÁ,PROD.PENF,2632.12093077036
ACY2,2023,1,ALTO PARANÁ,TOTAL PENEF,53392.8375913514
ACY3,2023,1,ALTO PARANÁ,ACCID.DEP,8.0
ACY3,2023,1,ALTO PARANÁ,PROG.DEP,0.612705044550472
ACY3,2023,1,ALTO PARANÁ,PROD.DEP,2664.61187946442
ACY3,2023,1,ALTO PARANÁ,TOTAL DEP,50167.8871500677
ACY3,2023,1,ALTO PARANÁ,ACCID.FEP,1.0
ACY3,2023,1,ALTO PARANÁ,PROG.FEP,0.527908392433149
ACY3,2023,1,ALTO PARANÁ,PROD.FEP,2497.74603341372
ACY3,2023,1,ALTO PARANÁ,TOTAL FEP,61224.0187244076
ACY3,2023,1,ALTO PARANÁ,ACCID.PENF,2.0
ACY3,2023,1,ALTO PARANÁ,PROG.PENF,0.851296979193616
ACY3,2023,1,ALTO PARANÁ,PROD.PENF,2513.02888417968
ACY3,2023,1,ALTO PARANÁ,TOTAL PENEF,59314.9179440645
ACY4,2023,1,ALTO PARANÁ,ACCID.DEP,8.0
ACY4,2023,1,ALTO PARANÁ,PROG.DEP,0.103160256942334
ACY4,2023,1,ALTO PARANÁ,PROD.DEP,2449.97862213095
ACY4,2023,1,ALTO PARANÁ,TOTAL DEP,55543.1535360385
ACY4,2023,1,ALTO PARANÁ,ACCID.FEP,4.0
ACY4,2023,1,ALTO PARANÁ,PROG.FEP,0.305801928512655
ACY4,2023,1,ALTO PARANÁ,TOTAL FEP,51269.6035921325
ACY4,2023,1,ALTO PARANÁ,PROD.FEP,4268.88179033609
ACY4,2023,1,ALTO PARANÁ,ACCID.PENF,5.0
ACY4,2023,1,ALTO PARANÁ,PROG.PENF,0.124047545953465
ACY4,2023,1,ALTO PARANÁ,PROD.PENF,2061.54098623747
ACY4,2023,1,ALTO PARANÁ,TOTAL PENEF,50714.6890089861
ACY5,2023,1,ALTO PARANÁ,ACCID.DEP,6.0
ACY5,2023,1,ALTO PARANÁ,PROG.DEP,0.946466906228973
ACY5,2023,1,ALTO PARANÁ,PROD.DEP,3905.37540255994
ACY5,2023,1,ALTO PARANÁ,TOTAL DEP,55774.2047390167
ACY5,2023,1,ALTO PARANÁ,ACCID.FEP,5.0
ACY5,2023,1,ALTO PARANÁ,PROG.FEP,0.410240025368036
ACY5,2023,1,ALTO PARANÁ,PROD.FEP,1986.13257724195
ACY5,2023,1,ALTO PARANÁ,TOTAL FEP,60131.8094744756
ACY5,2023,1,ALTO PARANÁ,ACCID.PENF,5.0
ACY5,2023,1,ALTO PARANÁ,PROG.PENF,0.333377967440735
ACY5,2023,1,ALTO PARANÁ,PROD.PENF,2240.68194292975
ACY5,2023,1,ALTO PARANÁ,TOTAL PENEF,66599.2637862366
ACY6,2023,1,ALTO PARANÁ,ACCID.DEP,1.0
ACY6,2023,1,ALTO PARANÁ,PROG.DEP,0.906802053052522
ACY6,2023,1,ALTO PARANÁ,PROD.DEP,1946.49971349283
ACY6,2023,1,ALTO PARANÁ,TOTAL DEP,50150.9662717661
ACY6,2023,1,ALTO PARANÁ,ACCID.FEP,3.0
ACY6,2023,1,ALTO PARANÁ,PROG.FEP,0.773119765742675
ACY6,2023,1,ALTO PARANÁ,PROD.FEP,4561.02755716719
ACY6,2023,1,ALTO PARANÁ,TOTAL FEP,60611.6739603506
ACY6,2023,1,ALTO PARANÁ,ACCID.PENF,6.0
ACY6,2023,1,ALTO PARANÁ,PROG.PENF,0.674523323944227
ACY6,2023,1,ALTO PARANÁ,PROD.PENF,4122.8107222096
ACY6,2023,1,ALTO PARANÁ,TOTAL PENEF,50336.9245017382
ACY7,2023,1,ALTO PARANÁ,ACCID.DEP,6.0
ACY7,2023,1,ALTO PARANÁ,PROG.DEP,0.341639557148474
ACY7,2023,1,ALTO PARANÁ,PROD.DEP,4914.40968036619
ACY7,2023,1,ALTO PARANÁ,TOTAL DEP,50601.1407967744
ACY7,2023,1,ALTO PARANÁ,ACCID.FEP,9.0
ACY7,2023,1,ALTO PARANÁ,PROG.FEP,0.216901274534774
ACY7,2023,1,ALTO PARANÁ,PROD.FEP,3868.22243450739
ACY7,2023,1,ALTO PARANÁ,TOTAL FEP,50464.7483223427
ACY7,2023,1,ALTO PARANÁ,ACCID.PENF,9.0
ACY7,2023,1,ALTO PARANÁ,PROG.PENF,0.315778864840119
ACY7,2023,1,ALTO PARANÁ,PROD.PENF,1957.59961523053
ACY7,2023,1,ALTO PARANÁ,TOTAL PENEF,66200.7971058125
ACY8,2023,1,ALTO PARANÁ,ACCID.DEP,0.0
ACY8,2023,1,ALTO PARANÁ,PROG.DEP,0.148705458601844
ACY8,2023,1,ALTO PARANÁ,TOTAL DEP,53632.2287297224
ACY8,2023,1,ALTO PARANÁ,PROD.DEP,2775.55433292738
ACY8,2023,1,ALTO PARANÁ,PROG.FEP,0.247669925016767
ACY8,2023,1,ALTO PARANÁ,ACCID.FEP,3.0
ACY8,2023,1,ALTO PARANÁ,PROD.FEP,1919.50811757237
ACY8,2023,1,ALTO PARANÁ,TOTAL FEP,63177.5374245249
ACY8,2023,1,ALTO PARANÁ,ACCID.PENF,8.0
ACY8,2023,1,ALTO PARANÁ,PROG.PENF,0.657182242676002
ACY8,2023,1,ALTO PARANÁ,PROD.PENF,2132.69855097864
ACY8,2023,1,ALTO PARANÁ,TOTAL PENEF,64913.1427042423
ACY9,2023,1,ALTO PARANÁ,ACCID.DEP,7.0
ACY9,2023,1,ALTO PARANÁ,PROG.DEP,0.414124046332855
ACY9,2023,1,ALTO PARANÁ,PROD.DEP,3538.64588860492
ACY9,2023,1,ALTO PARANÁ,TOTAL DEP,52021.7058318747
ACY1,2023,1,ALTO PARANÁ,PROD.DEP,2589.81936825379
ACY1,2023,1,ALTO PARANÁ,PROG.DEP,0.61821607840149
ACY1,2023,1,ALTO PARANÁ,TOTAL DEP,51718.0797750724
ACY9,2023,1,ALTO PARANÁ,ACCID.FEP,2.0
ACY9,2023,1,ALTO PARANÁ,ACCID.PENF,1.0
ACY9,2023,1,ALTO PARANÁ,PROG.PENF,0.511378240343365
ACY9,2023,1,ALTO PARANÁ,PROD.PENF,2201.0522448321
ACY9,2023,1,ALTO PARANÁ,TOTAL PENEF,68782.8416536714
APR10,2023,1,ALTO PARANÁ,ACCID.DEP,7.0
APR10,2023,1,ALTO PARANÁ,PROG.DEP,0.305936687546572
APR10,2023,1,ALTO PARANÁ,PROD.DEP,2531.56453159902
APR10,2023,1,ALTO PARANÁ,TOTAL DEP,60050.8781540121
APR10,2023,1,ALTO PARANÁ,ACCID.FEP,3.0
APR10,2023,1,ALTO PARANÁ,PROG.FEP,0.787642765921197
APR10,2023,1,ALTO PARANÁ,PROD.FEP,3563.94158718411
APR10,2023,1,ALTO PARANÁ,TOTAL FEP,61464.197535054
APR10,2023,1,ALTO PARANÁ,ACCID.PENF,5.0
APR10,2023,1,ALTO PARANÁ,PROG.PENF,0.984016599932781
APR10,2023,1,ALTO PARANÁ,PROD.PENF,3308.26707358469
APR10,2023,1,ALTO PARANÁ,TOTAL PENEF,55090.4778568275
APR11,2023,1,ALTO PARANÁ,ACCID.DEP,0.0
APR11,2023,1,ALTO PARANÁ,PROG.DEP,0.41728280505725
APR11,2023,1,ALTO PARANÁ,PROD.DEP,1629.49489933257
APR11,2023,1,ALTO PARANÁ,TOTAL DEP,53171.413791656
APR11,2023,1,ALTO PARANÁ,ACCID.FEP,6.0
APR11,2023,1,ALTO PARANÁ,PROG.FEP,0.170233604794644
APR11,2023,1,ALTO PARANÁ,PROD.FEP,1528.95912149277
APR11,2023,1,ALTO PARANÁ,TOTAL FEP,62528.723650546
APR11,2023,1,ALTO PARANÁ,ACCID.PENF,0.0
APR11,2023,1,ALTO PARANÁ,PROG.PENF,0.311043775521648
APR11,2023,1,ALTO PARANÁ,PROD.PENF,3249.47768621891
APR11,2023,1,ALTO PARANÁ,TOTAL PENEF,66160.7803871019
APR12,2023,1,ALTO PARANÁ,ACCID.DEP,0.0
APR12,2023,1,ALTO PARANÁ,PROG.DEP,0.335215626794261
APR12,2023,1,ALTO PARANÁ,PROD.DEP,2664.58615414712
APR12,2023,1,ALTO PARANÁ,TOTAL DEP,66700.7040760559
APR12,2023,1,ALTO PARANÁ,ACCID.FEP,5.0
APR12,2023,1,ALTO PARANÁ,PROG.FEP,0.197525481325375
APR12,2023,1,ALTO PARANÁ,PROD.FEP,3659.46966663685
APR12,2023,1,ALTO PARANÁ,TOTAL FEP,66552.4015048832
APR12,2023,1,ALTO PARANÁ,ACCID.PENF,7.0
APR12,2023,1,ALTO PARANÁ,PROG.PENF,0.884180043935325
APR12,2023,1,ALTO PARANÁ,PROD.PENF,2234.07714329408
APR12,2023,1,ALTO PARANÁ,TOTAL PENEF,69274.4622311112
APR13,2023,1,ALTO PARANÁ,ACCID.DEP,8.0
APR13,2023,1,ALTO PARANÁ,PROG.DEP,0.726721162159308
APR13,2023,1,ALTO PARANÁ,PROD.DEP,4936.01110685408
APR13,2023,1,ALTO PARANÁ,TOTAL DEP,68828.0385114367
APR13,2023,1,ALTO PARANÁ,ACCID.FEP,6.0
APR13,2023,1,ALTO PARANÁ,PROG.FEP,0.893271208055711
APR13,2023,1,ALTO PARANÁ,PROD.FEP,3405.73020238358
APR13,2023,1,ALTO PARANÁ,TOTAL FEP,51872.9840187774
APR13,2023,1,ALTO PARANÁ,ACCID.PENF,9.0
APR13,2023,1,ALTO PARANÁ,PROG.PENF,0.856506018622987
APR13,2023,1,ALTO PARANÁ,PROD.PENF,2889.85695086456
APR13,2023,1,ALTO PARANÁ,TOTAL PENEF,55196.1181812852
APR14,2023,1,ALTO PARANÁ,ACCID.DEP,1.0
APR14,2023,1,ALTO PARANÁ,PROG.DEP,0.761580028349057
APR14,2023,1,ALTO PARANÁ,PROD.DEP,1997.49359686341
APR14,2023,1,ALTO PARANÁ,TOTAL DEP,54544.2336222522
APR14,2023,1,ALTO PARANÁ,ACCID.FEP,0.0
APR14,2023,1,ALTO PARANÁ,PROG.FEP,0.688195088854839
APR14,2023,1,ALTO PARANÁ,PROD.FEP,4197.29870674831
APR14,2023,1,ALTO PARANÁ,TOTAL FEP,59539.9142983598
APR14,2023,1,ALTO PARANÁ,ACCID.PENF,5.0
APR14,2023,1,ALTO PARANÁ,PROG.PENF,0.250541644649221
APR14,2023,1,ALTO PARANÁ,PROD.PENF,1550.3637994097
APR14,2023,1,ALTO PARANÁ,TOTAL PENEF,67615.5541145118
APR2,2023,1,ALTO PARANÁ,ACCID.DEP,0.0
APR2,2023,1,ALTO PARANÁ,PROG.DEP,0.39957686208958
APR2,2023,1,ALTO PARANÁ,PROD.DEP,4322.72173759297
APR2,2023,1,ALTO PARANÁ,TOTAL DEP,68411.3893865942
APR2,2023,1,ALTO PARANÁ,ACCID.FEP,9.0
APR2,2023,1,ALTO PARANÁ,PROG.FEP,0.557859365889666
APR2,2023,1,ALTO PARANÁ,PROD.FEP,4714.25467618129
APR2,2023,1,ALTO PARANÁ,TOTAL FEP,66507.2744782507
APR2,2023,1,ALTO PARANÁ,ACCID.PENF,6.0
APR2,2023,1,ALTO PARANÁ,PROG.PENF,0.727884075476538
APR2,2023,1,ALTO PARANÁ,PROD.PENF,3620.32542749827
APR2,2023,1,ALTO PARANÁ,TOTAL PENEF,58960.2146260825
APR3,2023,1,ALTO PARANÁ,ACCID.DEP,0.0
APR3,2023,1,ALTO PARANÁ,PROG.DEP,0.584939305174356
APR3,2023,1,ALTO PARANÁ,TOTAL DEP,54142.7938155588
APR3,2023,1,ALTO PARANÁ,PROD.DEP,2145.91072058781
APR3,2023,1,ALTO PARANÁ,ACCID.FEP,7.0
APR3,2023,1,ALTO PARANÁ,PROG.FEP,0.656314512419269
APR3,2023,1,ALTO PARANÁ,PROD.FEP,2543.44140025223
APR3,2023,1,ALTO PARANÁ,TOTAL FEP,55754.2817794444
APR3,2023,1,ALTO PARANÁ,PROG.PENF,0.909807481941928
APR3,2023,1,ALTO PARANÁ,ACCID.PENF,7.0
APR3,2023,1,ALTO PARANÁ,PROD.PENF,2183.0060171535
APR3,2023,1,ALTO PARANÁ,TOTAL PENEF,52948.7673630532
APR4,2023,1,ALTO PARANÁ,ACCID.DEP,1.0
APR4,2023,1,ALTO PARANÁ,PROG.DEP,0.829447423774737
APR4,2023,1,ALTO PARANÁ,PROD.DEP,4746.80617429877
APR4,2023,1,ALTO PARANÁ,TOTAL DEP,63228.1328443921
APR4,2023,1,ALTO PARANÁ,ACCID.FEP,9.0
APR4,2023,1,ALTO PARANÁ,PROG.FEP,0.637731811569268
APR4,2023,1,ALTO PARANÁ,PROD.FEP,4312.77882530173
APR4,2023,1,ALTO PARANÁ,TOTAL FEP,53587.0704157703
ACY9,2023,1,ALTO PARANÁ,PROD.FEP,4979.92230830997
ACY9,2023,1,ALTO PARANÁ,TOTAL FEP,61256.3211032034
ACY9,2023,1,ALTO PARANÁ,PROG.FEP,0.144773941632358
APR4,2023,1,ALTO PARANÁ,PROG.PENF,0.275506020680443
APR4,2023,1,ALTO PARANÁ,PROD.PENF,4696.90266587488
APR5,2023,1,ALTO PARANÁ,PROG.DEP,0.602176617871484
APR5,2023,1,ALTO PARANÁ,PROD.DEP,2293.48525501815
APR5,2023,1,ALTO PARANÁ,TOTAL DEP,52738.9907749746
APR5,2023,1,ALTO PARANÁ,ACCID.FEP,1.0
APR5,2023,1,ALTO PARANÁ,PROG.FEP,0.363756682217675
APR5,2023,1,ALTO PARANÁ,PROD.FEP,1315.09602584213
APR5,2023,1,ALTO PARANÁ,ACCID.PENF,2.0
APR5,2023,1,ALTO PARANÁ,TOTAL FEP,61447.090456078
APR5,2023,1,ALTO PARANÁ,PROG.PENF,0.916854876193644
APR5,2023,1,ALTO PARANÁ,PROD.PENF,4597.9002055219
APR6,2023,1,ALTO PARANÁ,ACCID.DEP,3.0
APR6,2023,1,ALTO PARANÁ,PROG.DEP,0.324047979832833
APR5,2023,1,ALTO PARANÁ,TOTAL PENEF,53509.9108311672
APR6,2023,1,ALTO PARANÁ,PROD.DEP,2779.69807888033
APR6,2023,1,ALTO PARANÁ,TOTAL DEP,56315.0121073322
APR6,2023,1,ALTO PARANÁ,PROG.FEP,0.982181426640766
APR6,2023,1,ALTO PARANÁ,ACCID.FEP,3.0
APR6,2023,1,ALTO PARANÁ,PROD.FEP,1441.11998674549
APR6,2023,1,ALTO PARANÁ,TOTAL FEP,50389.5648524999
APR6,2023,1,ALTO PARANÁ,ACCID.PENF,3.0
APR6,2023,1,ALTO PARANÁ,PROG.PENF,0.18391948131272
APR6,2023,1,ALTO PARANÁ,PROD.PENF,3572.56788442642
APR6,2023,1,ALTO PARANÁ,TOTAL PENEF,50328.0370615755
APR8,2023,1,ALTO PARANÁ,ACCID.DEP,8.0
APR8,2023,1,ALTO PARANÁ,PROG.DEP,0.479377611762599
APR8,2023,1,ALTO PARANÁ,PROD.DEP,2654.09173853803
APR8,2023,1,ALTO PARANÁ,TOTAL DEP,53015.3111058962
APR8,2023,1,ALTO PARANÁ,PROG.FEP,0.747934039650392
APR8,2023,1,ALTO PARANÁ,PROD.FEP,2090.85457589615
APR8,2023,1,ALTO PARANÁ,ACCID.FEP,8.0
APR8,2023,1,ALTO PARANÁ,TOTAL FEP,51785.3439412615
APR8,2023,1,ALTO PARANÁ,ACCID.PENF,1.0
APR8,2023,1,ALTO PARANÁ,PROD.PENF,4672.1095213014
APR8,2023,1,ALTO PARANÁ,PROG.PENF,0.322988448061676
APR8,2023,1,ALTO PARANÁ,TOTAL PENEF,67093.1602888195
APR9,2023,1,ALTO PARANÁ,ACCID.DEP,7.0
APR9,2023,1,ALTO PARANÁ,PROG.DEP,0.478115083664094
APR9,2023,1,ALTO PARANÁ,PROD.DEP,1636.61335046555
APR9,2023,1,ALTO PARANÁ,TOTAL DEP,58930.8767149973
APR9,2023,1,ALTO PARANÁ,ACCID.FEP,6.0
APR9,2023,1,ALTO PARANÁ,PROD.FEP,4467.6065685305
APR9,2023,1,ALTO PARANÁ,PROG.FEP,0.687993415152271
APR9,2023,1,ALTO PARANÁ,TOTAL FEP,56194.4227469491
APR9,2023,1,ALTO PARANÁ,ACCID.PENF,0.0
APR9,2023,1,ALTO PARANÁ,PROG.PENF,0.311662285671657
APR9,2023,1,ALTO PARANÁ,PROD.PENF,3209.75434754328
APR9,2023,1,ALTO PARANÁ,TOTAL PENEF,66408.4872917499
CAT1,2023,1,CANINDEYU,ACCID.DEP,4.0
CAT1,2023,1,CANINDEYU,PROG.DEP,0.657264879920736
CAT1,2023,1,CANINDEYU,PROD.DEP,3135.37811907104
CAT1,2023,1,CANINDEYU,TOTAL DEP,51899.5119488903
CAT1,2023,1,CANINDEYU,ACCID.FEP,6.0
CAT1,2023,1,CANINDEYU,PROG.FEP,0.31675443349921
CAT1,2023,1,CANINDEYU,PROD.FEP,2601.48847447491
CAT1,2023,1,CANINDEYU,TOTAL FEP,65570.7176416772
CAT1,2023,1,CANINDEYU,ACCID.PENF,5.0
CAT1,2023,1,CANINDEYU,PROG.PENF,0.829569280949963
CAT1,2023,1,CANINDEYU,PROD.PENF,2287.76265127523
CAT1,2023,1,CANINDEYU,TOTAL PENEF,59755.5014602295
CAT10,2023,1,CANINDEYU,ACCID.DEP,6.0
CAT10,2023,1,CANINDEYU,PROG.DEP,0.218923136184454
CAT10,2023,1,CANINDEYU,TOTAL DEP,52625.5838078152
CAT10,2023,1,CANINDEYU,ACCID.FEP,7.0
CAT10,2023,1,CANINDEYU,PROD.DEP,2113.53820534458
CAT10,2023,1,CANINDEYU,PROG.FEP,0.928031084125034
CAT10,2023,1,CANINDEYU,PROD.FEP,3336.36771378263
CAT10,2023,1,CANINDEYU,ACCID.PENF,7.0
CAT10,2023,1,CANINDEYU,TOTAL FEP,61640.879466899
CAT10,2023,1,CANINDEYU,PROG.PENF,0.703787191852981
CAT10,2023,1,CANINDEYU,PROD.PENF,1165.19413175551
CAT11,2023,1,CANINDEYU,ACCID.DEP,8.0
CAT10,2023,1,CANINDEYU,TOTAL PENEF,57210.8829901548
CAT11,2023,1,CANINDEYU,PROG.DEP,0.447632085206433
